group	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	group	%pronouns	%error	%verb	%noun	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
23	3	23	1.930232558139535	282	21	17	0	33	43	4	0.12955354697343194	15	1	3	0	0	1	0	0	0	0	0	1	15	1	0	0	2	1	0	23	0.06028368794326241	0.0	0.11702127659574468	0.1524822695035461	0.014184397163120567	0.0	0.13333333333333333	0.06666666666666667	0.0
25	4	25	2.414507772020725	524	42	29	0	62	73	13	0.1340825927861997	21	4	5	1	0	0	0	2	0	0	1	8	57	4	3	0	10	4	1	25	0.05534351145038168	0.0	0.1183206106870229	0.13931297709923665	0.02480916030534351	0.05263157894736842	0.17543859649122806	0.07017543859649122	0.017543859649122806
26	11	26	2.713068181818182	1119	108	58	0	168	208	32	0.11679879239178939	36	7	28	0	0	4	6	4	0	0	1	22	4491	534	188	1	544	460	210	52	0.05183199285075961	0.0	0.15013404825737264	0.18588025022341376	0.028596961572832886	0.04186150077933645	0.12113115119127144	0.10242707637497217	0.04676018704074816
27	7	27	2.7539682539682535	391	59	42	0	70	64	7	0.12360016590626295	39	0	9	2	0	0	0	1	0	0	0	8	1805	185	62	0	199	163	85	27	0.10741687979539642	0.0	0.17902813299232737	0.1636828644501279	0.017902813299232736	0.03434903047091413	0.11024930747922437	0.09030470914127424	0.04709141274238227
29	9	29	2.9473684210526314	584	53	39	0	92	78	10	0.1276233692569484	26	0	3	0	0	8	3	0	0	2	0	11	2166	252	69	0	258	208	100	29	0.06678082191780822	0.0	0.15753424657534246	0.13356164383561644	0.017123287671232876	0.03185595567867036	0.11911357340720222	0.09602954755309326	0.046168051708217916
30	10	30	2.6161616161616164	305	32	27	0	47	43	4	0.15033091711314214	23	2	0	0	0	0	1	0	0	1	0	5	113	4	3	0	24	11	2	30	0.08852459016393442	0.0	0.1540983606557377	0.14098360655737704	0.013114754098360656	0.02654867256637168	0.21238938053097345	0.09734513274336283	0.017699115044247787
31	11	31	3.8533333333333335	638	88	60	0	99	29	3	0.12325502213142665	32	1	20	0	0	17	10	0	0	0	0	8	2094	272	98	0	224	159	58	31	0.09404388714733543	0.0	0.15517241379310345	0.045454545454545456	0.004702194357366771	0.04680038204393505	0.1069723018147087	0.07593123209169055	0.027698185291308502
32	25	32	4.582652308826692	2472	441	260	0	395	161	19	0.10531308603761942	136	15	108	0	0	47	37	20	0	4	1	73	4503	719	262	0	557	354	145	64	0.10517799352750809	0.0	0.159789644012945	0.0651294498381877	0.007686084142394822	0.05818343326671108	0.12369531423495447	0.07861425716189208	0.03220075505218743
33	14	33	4.069105691056912	1033	105	59	0	179	174	83	0.09059926157341663	15	10	35	0	0	32	0	2	0	0	0	11	2443	303	99	0	275	307	137	33	0.057115198451113264	0.0	0.1732817037754114	0.16844143272023232	0.0803484995159729	0.040523945968072045	0.1125665165779779	0.12566516577977896	0.056078591895210805
34	31	34	4.49502865832261	2182	291	200	0	306	226	92	0.11678280974649666	64	5	48	11	0	52	17	17	0	29	5	43	59	3	1	0	10	7	4	68	0.09165902841429881	0.0	0.14023831347387716	0.10357470210815765	0.04216315307057745	0.01694915254237288	0.1694915254237288	0.11864406779661017	0.06779661016949153
35	17	35	3.7	460	80	25	0	63	50	6	0.14651773981603153	17	2	35	0	0	1	3	2	0	0	0	20	728	123	48	0	105	65	20	35	0.05434782608695652	0.0	0.13695652173913042	0.10869565217391304	0.013043478260869565	0.06593406593406594	0.14423076923076922	0.08928571428571429	0.027472527472527472
36	18	36	4.716312056737588	1293	154	115	2	210	196	96	0.1307867442448773	20	2	30	0	0	48	23	6	0	15	1	9	2098	277	109	3	262	237	134	36	0.08894044856921887	0.017391304347826087	0.16241299303944315	0.15158546017014696	0.07424593967517401	0.051954242135367014	0.12488083889418494	0.11296472831267874	0.06387035271687322
