	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner
0	15	1.0	19	0	0	0	0	5	0	0.31226053639846746	0	0	0	0	0	0	0	0	0	0	0	0	27	2	0	0	2	4	2
1	16	1.0666666666666667	105	0	0	0	0	6	0	0.22508591065292097	0	0	0	0	0	0	0	0	0	0	0	0	766	91	35	1	74	78	36
2	17	1.1111111111111112	34	0	0	0	0	8	0	0.38571428571428573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	19	1.3166666666666667	216	0	0	0	15	42	0	0.16802678384599287	0	0	0	0	0	0	0	0	0	0	0	0	1377	187	133	1	139	165	69
4	19	1.3741496598639455	283	0	0	0	4	82	0	0.1520979020979021	0	0	0	0	0	0	0	0	0	0	0	0	1821	224	132	0	216	228	93
5	21	1.4152542372881356	433	3	1	0	19	168	0	0.15554842847979475	1	0	0	0	0	0	0	0	0	0	0	2	1279	129	48	1	123	204	75
6	23	1.564625850340136	267	0	0	0	10	120	0	0.23298284449363585	0	0	0	0	0	0	0	0	0	0	0	0	701	43	19	2	50	121	23
7	25	3.3740458015267176	444	22	8	3	58	92	5	0.22106824925816024	1	7	5	0	0	0	0	0	0	0	0	9	700	79	29	1	84	73	36
8	26	2.764705882352941	190	10	5	1	22	27	3	0.27627302275189597	3	1	0	0	1	0	0	0	0	0	0	5	249	33	6	0	46	22	9
9	29	4.761111111111111	888	58	31	1	78	145	44	0.19827147941026946	17	2	11	0	2	2	0	2	1	4	1	16	84	11	4	0	10	11	5
10	31	3.56	350	32	18	0	35	62	15	0.17979973878972572	11	0	4	2	0	0	0	1	0	3	1	10	224	29	14	0	23	25	19
