age	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	age	%pronouns	%error	%verb	%verb_tensed	%noun	%determiner	%parent_pronoun	%parent_verb	%parent_noun	%parent_determiner
35	48	48	48	3.5320629840366684	7035	1090	553	23	1330	1027	52	0.12779891785304576	226	206	204	39	15	8	6	28	6	12	7	333	5323	790	237	1	757	621	235	95	238	24	973	35	0.07860696517412935	0.04159132007233273	0.1890547263681592	0.26842105263157895	0.14598436389481165	0.0073916133617626155	0.044523764794288934	0.14221303776066127	0.11666353560022544	0.04414803682134135
36	37	37	37	4.227831581839412	7392	1132	714	4	1348	1129	219	0.10563952195775202	315	195	240	68	18	22	1	23	0	42	30	178	4773	661	245	2	661	594	291	126	211	31	980	36	0.09659090909090909	0.0056022408963585435	0.18235930735930736	0.27299703264094954	0.15273268398268397	0.029626623376623376	0.05133040016760947	0.13848732453383616	0.12445003142677562	0.06096794468887492
37	41	41	41	4.902513097604961	7726	1120	610	5	1297	1128	555	0.11734516847658599	349	98	280	25	6	16	13	38	1	26	38	230	2257	293	97	0	303	308	161	141	237	26	893	37	0.07895418068858401	0.00819672131147541	0.16787470877556304	0.31148804934464147	0.14600051773233239	0.07183536111830184	0.042977403633141335	0.13424900310146212	0.13646433318564466	0.07133362871067789
38	45	45	45	4.3632933862005245	6573	951	613	1	1095	946	391	0.12630575156558457	367	112	212	34	6	18	3	14	1	40	18	126	3814	471	154	1	455	539	247	140	165	27	763	38	0.0932603073178153	0.0016313213703099511	0.16659059790050204	0.30319634703196346	0.14392210558344742	0.05948577514072722	0.040377556371263765	0.11929732564237021	0.14132144729942317	0.06476140534871526
39	49	49	49	4.614007810664786	7644	1047	619	1	1205	937	587	0.11105026446677935	426	43	276	29	8	5	4	51	4	17	32	152	3070	425	144	0	434	378	211	190	170	22	823	39	0.08097854526425954	0.0016155088852988692	0.15763997906855048	0.31701244813278007	0.12257980115122973	0.07679225536368393	0.046905537459283386	0.14136807817589578	0.12312703583061889	0.06872964169381107
40	53	53	53	5.162306623436776	8240	1132	758	2	1307	1016	613	0.10779413497206686	468	50	197	35	16	15	9	103	3	34	25	177	3844	477	177	2	445	523	269	178	301	14	814	40	0.09199029126213593	0.002638522427440633	0.15861650485436893	0.3771996939556236	0.12330097087378641	0.07439320388349514	0.04604578563995838	0.11576482830385015	0.13605619146722164	0.06997918834547347
41	87	87	87	5.076601436851201	10929	1484	970	3	1631	1427	745	0.11589379466414845	498	49	250	163	16	11	0	39	2	135	57	264	6736	899	394	5	899	837	382	304	269	28	1030	41	0.08875468935858724	0.003092783505154639	0.14923597767407815	0.3684855916615573	0.13057004300484948	0.06816726141458505	0.0584916864608076	0.13346199524940616	0.12425771971496437	0.05671021377672209
42	63	63	63	5.035784838903551	6049	880	521	3	988	789	347	0.1287208289236316	311	35	164	65	17	3	2	16	1	44	27	195	3743	527	197	2	491	432	205	158	114	15	701	42	0.08612993883286493	0.005758157389635317	0.1633327822780625	0.29048582995951416	0.13043478260869565	0.05736485369482559	0.05263157894736842	0.13117819930537003	0.11541544215869623	0.05476890195030724
43	33	33	33	5.062874251497006	3206	468	313	0	598	438	263	0.1430811446491572	176	16	92	15	32	6	1	11	1	24	31	63	1762	201	87	1	226	228	110	137	83	16	362	43	0.09762944479101685	0.0	0.18652526512788523	0.39464882943143814	0.13661883967560823	0.08203368683718029	0.04937570942111237	0.1282633371169126	0.12939841089670828	0.06242905788876277
44	69	69	69	4.97976282270265	6730	944	569	1	1094	950	403	0.12346405236881385	437	37	175	12	5	11	1	21	0	28	17	200	4698	618	185	3	625	588	274	228	156	37	673	44	0.08454680534918277	0.0017574692442882249	0.162555720653789	0.38482632541133455	0.1411589895988113	0.05988112927191679	0.039378458918688804	0.13303533418475946	0.1251596424010217	0.05832269050659855
45	36	36	36	5.1946666666666665	3756	520	305	1	559	515	264	0.11909937888198754	210	18	98	8	4	0	0	4	2	26	33	117	2549	309	124	1	330	336	187	91	79	19	370	45	0.08120340788072418	0.003278688524590164	0.14882854100106496	0.33810375670840787	0.13711395101171459	0.07028753993610223	0.04864652805021577	0.12946253432718713	0.13181639858768143	0.07336210278540604
46	75	75	75	5.354809622591007	5787	842	461	0	950	742	318	0.12850497625906337	352	37	191	23	13	2	0	9	0	11	14	190	4164	589	168	0	580	500	239	158	100	13	679	46	0.07966130983238293	0.0	0.16416105063072403	0.28526315789473683	0.12821842059789182	0.054950751684810784	0.040345821325648415	0.13928914505283382	0.12007684918347743	0.05739673390970221
47	79	79	79	5.239784368332763	6282	873	539	0	910	822	408	0.12926970643290486	284	43	193	64	11	11	13	50	1	30	32	141	3693	431	166	2	426	463	227	140	127	25	618	47	0.08580070041388092	0.0	0.1448583253740847	0.3208791208791209	0.1308500477554919	0.06494746895893028	0.04494990522610344	0.11535337124289195	0.12537232602220416	0.06146764148388844
48	41	41	41	5.393939393939394	3670	505	285	1	597	493	218	0.12052354117433195	190	19	131	25	4	4	2	12	0	10	19	89	1645	232	78	2	213	204	85	86	89	14	408	48	0.0776566757493188	0.0035087719298245615	0.16267029972752042	0.3165829145728643	0.1343324250681199	0.05940054495912807	0.04741641337386018	0.12948328267477205	0.12401215805471125	0.05167173252279635
49	42	42	42	5.8172757475083055	5229	729	425	0	798	620	323	0.09630387517585368	250	34	134	30	5	2	2	53	0	34	15	170	2481	315	82	0	340	284	118	86	91	17	604	49	0.08127749091604514	0.0	0.15261044176706828	0.24310776942355888	0.11856951615987761	0.0617708930961943	0.03305118903667876	0.1370415155179363	0.11446997178557033	0.0475614671503426
51	87	87	87	6.122847247170827	7210	919	587	1	1139	864	468	0.12649146055846935	406	79	213	35	10	13	4	19	1	10	10	119	3579	433	162	1	479	436	219	194	136	28	781	51	0.08141470180305131	0.0017035775127768314	0.1579750346740638	0.31431079894644426	0.11983356449375866	0.06490984743411927	0.04526404023470243	0.1338362671137189	0.12182173791561889	0.06119027661357921
52	91	91	91	6.032982136731249	7982	864	530	1	1145	933	578	0.1221206982626485	356	53	168	21	11	16	3	17	0	35	18	166	1202	148	54	0	156	134	62	161	135	37	812	52	0.06639939864695565	0.0018867924528301887	0.1434477574542721	0.2908296943231441	0.11688799799548985	0.07241292909045352	0.04492512479201331	0.129783693843594	0.11148086522462562	0.051580698835274545
53	47	47	47	5.924107142857142	3863	499	289	2	612	488	215	0.1352819936293798	185	22	124	24	8	4	3	27	0	11	5	86	957	122	39	0	133	117	49	98	83	21	410	53	0.07481232202951074	0.006920415224913495	0.15842609370955216	0.3300653594771242	0.1263266891017344	0.05565622573129692	0.04075235109717868	0.13897596656217345	0.12225705329153605	0.051201671891327065
55	97	97	97	6.049979047803243	8421	1098	716	21	1329	949	529	0.1213342390875959	383	74	233	58	28	32	11	52	4	53	21	149	1998	247	91	0	238	281	151	272	170	45	842	55	0.08502553140957131	0.029329608938547486	0.15781973637335234	0.36644093303235514	0.11269445434033963	0.06281914261964137	0.045545545545545546	0.11911911911911911	0.14064064064064064	0.07557557557557558
56	50	50	50	5.8147410358565725	2804	384	221	5	408	292	137	0.1367965367965368	111	22	88	17	5	6	4	22	5	24	5	75	1083	155	50	0	153	114	49	73	43	9	283	56	0.07881597717546363	0.02262443438914027	0.14550641940085593	0.30637254901960786	0.10413694721825963	0.04885877318116976	0.046168051708217916	0.14127423822714683	0.10526315789473684	0.04524469067405355
57	51	51	51	5.886054421768707	3361	451	258	0	489	435	236	0.13694080875170933	163	26	90	18	5	3	3	15	3	11	11	103	1085	133	46	0	157	122	53	87	60	12	330	57	0.07676286819398988	0.0	0.14549241297232968	0.32515337423312884	0.12942576614102946	0.07021719726271942	0.0423963133640553	0.1447004608294931	0.11244239631336406	0.04884792626728111
58	52	52	52	5.837110481586403	3958	464	288	1	621	567	313	0.12679671457905545	192	21	83	11	3	4	0	19	1	24	13	93	607	83	28	0	77	58	35	127	72	26	396	58	0.07276402223345124	0.003472222222222222	0.15689742294087924	0.36231884057971014	0.14325416877210712	0.07908034360788277	0.04612850082372323	0.12685337726523888	0.09555189456342669	0.057660626029654036
59	53	53	53	5.807692307692308	4480	597	305	0	747	604	286	0.11585539424992886	181	35	148	14	6	7	4	29	3	14	12	144	1030	155	56	0	143	133	61	136	93	28	490	59	0.06808035714285714	0.0	0.16674107142857142	0.34404283801874164	0.13482142857142856	0.06383928571428571	0.05436893203883495	0.13883495145631067	0.129126213592233	0.059223300970873784
